City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,lorengau,36,PG,1525167661,100,-2.02,147.27,79.62,3.71
371,rybinsk,0,RU,1525168039,78,58.05,38.83,51.54,11.32
372,katsuura,75,JP,1525165200,56,33.93,134.5,71.6,3.36
373,nuuk,75,GL,1525164600,79,64.17,-51.74,21.2,12.75
374,margate,0,AU,1525165200,39,-43.03,147.26,62.6,10.29
375,powell,1,US,1525166220,54,40.16,-83.08,48.2,4.61
376,temir,92,KZ,1525168040,55,49.14,57.13,65.58,23.17
377,alaca,80,TR,1525168041,30,40.17,34.84,75.3,3.94
378,iquitos,90,PE,1525165200,94,-3.75,-73.25,75.2,1.12
379,gamba,92,CN,1525168041,95,28.28,88.52,29.94,3.38
380,vostok,76,RU,1525168042,28,46.45,135.83,49.74,2.26
381,qinhuangdao,92,CN,1525168042,30,39.94,119.59,67.38,7.07
